user_id,review_time,image_url,review_text,label,genre,text_clean,img_local_path
m**3,2025年11月20日,//img.alicdn.com/imgextra/i2/4611686018427384999/O1CN01KThJiI1aGpJM6pwfW_!!4611686018427384999-0-rate.jpg_960x960.jpg_.webp,整体评价： 保湿控油效果：好，质量好，服務各方面都好，值得购买,0,美妆,整体评价 保湿控油效果 好，质量好，服务各方面都好，值得购买,/mnt/workspace/FRD-CLIP/images/train/O1CN01KThJiI1aGpJM6pwfW_!!4611686018427384999-0-rate.jpg_960x960.jpg_.webp
i**?,2025年10月31日,//img.alicdn.com/imgextra/i3/4611686018427380285/O1CN01u6Nzi226w6i2ncpQX_!!4611686018427380285-0-rate.jpg_960x960.jpg_.webp,常年买这款钙片，孕期吃，家里老人也在吃，迷你钙比较好吞服！补充钙的同时也补维生素D，促进吸收，有效缓解缺钙引起的抽筋！,1,保健,常年买这款钙片，孕期吃，家里老人也在吃，迷你钙比较好吞服！补充钙的同时也补维生素D，促进吸收，有效缓解缺钙引起的抽筋！,/mnt/workspace/FRD-CLIP/images/train/O1CN01u6Nzi226w6i2ncpQX_!!4611686018427380285-0-rate.jpg_960x960.jpg_.webp
一**火,2025年11月12日,//img.alicdn.com/imgextra/i4/4611686018427387872/O1CN01KGDpR21v1LrFzmgwt_!!4611686018427387872-0-rate.jpg_960x960.jpg_.webp,喝酒熬夜必备，产品不错，性价比高，第二次回购了,0,保健,喝酒熬夜必备，产品不错，性价比高，第二次回购了,/mnt/workspace/FRD-CLIP/images/train/O1CN01KGDpR21v1LrFzmgwt_!!4611686018427387872-0-rate.jpg_960x960.jpg_.webp
公**9,2025年10月30日,//img.alicdn.com/imgextra/i3/4611686018427382942/O1CN01EAGoy41heMyZR3n6E_!!4611686018427382942-0-rate.jpg_960x960.jpg_.webp,霜很水润，给婆婆买的，一直用这款还是一如既往的好用,0,美妆,霜很水润，给婆婆买的，一直用这款还是一如既往的好用,/mnt/workspace/FRD-CLIP/images/train/O1CN01EAGoy41heMyZR3n6E_!!4611686018427382942-0-rate.jpg_960x960.jpg_.webp
瑟***,2025年9月14日,//img.alicdn.com/imgextra/i3/4611686018427386423/O1CN014Q6THp1W8LUyudrwU_!!4611686018427386423-0-rate.jpg_960x960.jpg_.webp,用玉兰油已经多年，然，仍然觉得她是性价比最高的基础保湿面霜，敏感肌在换季时维稳也很躜,1,美妆,用玉兰油已经多年，然，仍然觉得她是性价比最高的基础保湿面霜，敏感肌在换季时维稳也很躜,/mnt/workspace/FRD-CLIP/images/train/O1CN014Q6THp1W8LUyudrwU_!!4611686018427386423-0-rate.jpg_960x960.jpg_.webp
高**7,2025年10月23日,//img.alicdn.com/imgextra/i3/2480781167/O1CN01ksyoyt1KUXJ905JSj~livephoto~_!!2480781167-0-rate_livephoto.jpg_960x960.jpg_.webp,这款鱼油非常好，我睡眠不好，经常失眠，朋友介绍说吃这款鱼油效果不错，我吃了几天感觉睡眠质量有所提升，同时鱼油还有抗炎保护视力的效果，我会继续回购的,0,保健,这款鱼油非常好，我睡眠不好，经常失眠，朋友介绍说吃这款鱼油效果不错，我吃了几天感觉睡眠质量有所提升，同时鱼油还有抗炎保护视力的效果，我会继续回购的,/mnt/workspace/FRD-CLIP/images/train/O1CN01ksyoyt1KUXJ905JSj~livephoto~_!!2480781167-0-rate_livephoto.jpg_960x960.jpg_.webp
匿名买家,2024年1月26日,//img.alicdn.com/imgextra/i2/0/O1CN01K9HgI01fjkDRIAzB8_!!0-rate.jpg_960x960.jpg_.webp,整体评价：用了好多年，一直是这个牌子的，保湿效果很好，很满意的一次购物。,0,美妆,整体评价 用了好多年，一直是这个牌子的，保湿效果很好，很满意的一次购物。,/mnt/workspace/FRD-CLIP/images/train/O1CN01K9HgI01fjkDRIAzB8_!!0-rate.jpg_960x960.jpg_.webp
热***i,2019-07-09,https://img30.360buyimg.com/shaidan/s300x300_jfs/t1/83279/26/4182/158700/5d249055Ecb05c77a/9f395d06c74b27b2.jpg.dpg,收到宝贝了，特别的惊喜，面膜纸挺薄的，但是不容易撕破，感觉精华液挺好吸收的，是属于很细腻的那种，敷在脸上的时候也不会觉得很油腻，很清爽，敷完之后都是很轻松的感觉，还有淡淡的清香味，挺好闻的，用了一段时间这款面膜了，感觉是真心不错，非常的喜欢，用完还会继续回购的。,0,美妆,收到宝贝了，特别的惊喜，面膜纸挺薄的，但是不容易撕破，感觉精华液挺好吸收的，是属于很细腻的那种，敷在脸上的时候也不会觉得很油腻，很清爽，敷完之后都是很轻松的感觉，还有淡淡的清香味，挺好闻的，用了一段时间这款面膜了，感觉是真心不错，非常的喜欢，用完还会继续回购的。,/mnt/workspace/FRD-CLIP/images/train/9f395d06c74b27b2.jpg.dpg
匿名买家,2025年2月15日,//img.alicdn.com/imgextra/i2/4611686018427384031/O1CN01aAXhGU2GlFPS7yOIG_!!4611686018427384031-0-tbbala.jpg_960x960.jpg_.webp,瓶盖烂的，里面药物断的！明显是产品自身问题，客服还说是物流包装问题，也不解决，还说要问工厂各种等！,0,保健,瓶盖烂的，里面药物断的！明显是产品自身问题，客服还说是物流包装问题，也不解决，还说要问工厂各种等！,/mnt/workspace/FRD-CLIP/images/train/O1CN01aAXhGU2GlFPS7yOIG_!!4611686018427384031-0-tbbala.jpg_960x960.jpg_.webp
p***9,2023-01-08,https://img30.360buyimg.com/shaidan/s300x300_jfs/t1/122013/4/28060/66589/63baabf0Fce479aad/0e3b1651eb0ddd73.jpg.dpg,母乳过渡奶粉 选择了很久选择了这一款 目前宝宝很爱喝 准备回购囤货,0,母婴,母乳过渡奶粉 选择了很久选择了这一款 目前宝宝很爱喝 准备回购囤货,/mnt/workspace/FRD-CLIP/images/train/0e3b1651eb0ddd73.jpg.dpg
